stock_id,perfume_id,perfume_name,size_ml,quantity_available,reorder_point,status,last_updated,warehouse_location
STK-PRF-010-100,PRF-010,Dior Consectetur Flora,100,63,78,Low Stock,2026-07-21,Gudang Surabaya
STK-PRF-011-50,PRF-011,Tom Ford Architecto Lumiere,50,344,53,Available,2026-07-21,Gudang Bandung
STK-PRF-011-100,PRF-011,Tom Ford Architecto Lumiere,100,195,67,Available,2026-07-21,Gudang Jakarta
STK-PRF-012-50,PRF-012,Hermès Quod Aqua,50,345,49,Available,2026-07-21,Gudang Surabaya
STK-PRF-012-100,PRF-012,Hermès Quod Aqua,100,12,99,Low Stock,2026-07-21,Gudang Bandung
STK-PRF-013-50,PRF-013,Hermès Saepe Absolu,50,167,98,Available,2026-07-21,Gudang Jakarta
STK-PRF-013-100,PRF-013,Hermès Saepe Absolu,100,331,28,Available,2026-07-21,Gudang Bandung
STK-PRF-014-50,PRF-014,Gucci Doloribus Aqua,50,421,79,Available,2026-07-21,Gudang Bandung
STK-PRF-014-100,PRF-014,Gucci Doloribus Aqua,100,154,72,Available,2026-07-21,Gudang Jakarta
STK-PRF-015-50,PRF-015,Byredo Ex,50,71,25,Available,2026-07-21,Gudang Jakarta
STK-PRF-015-100,PRF-015,Byredo Ex,100,155,83,Available,2026-07-21,Gudang Jakarta
STK-PRF-016-50,PRF-016,Le Labo Debitis Intense,50,49,50,Low Stock,2026-07-21,Gudang Bandung
STK-PRF-016-100,PRF-016,Le Labo Debitis Intense,100,69,69,Low Stock,2026-07-21,Gudang Surabaya
STK-PRF-017-50,PRF-017,Jo Malone Magni Oud,50,189,89,Available,2026-07-21,Gudang Surabaya
STK-PRF-017-100,PRF-017,Jo Malone Magni Oud,100,300,39,Available,2026-07-21,Gudang Surabaya
STK-PRF-018-50,PRF-018,Burberry Sint Absolu,50,335,32,Available,2026-07-21,Gudang Surabaya
STK-PRF-018-100,PRF-018,Burberry Sint Absolu,100,315,72,Available,2026-07-21,Gudang Surabaya
STK-PRF-019-50,PRF-019,Jo Malone Aliquam,50,16,67,Low Stock,2026-07-21,Gudang Jakarta
STK-PRF-019-100,PRF-019,Jo Malone Aliquam,100,227,76,Available,2026-07-21,Gudang Jakarta
STK-PRF-020-50,PRF-020,Hermès Porro Intense,50,437,66,Available,2026-07-21,Gudang Jakarta
STK-PRF-020-100,PRF-020,Hermès Porro Intense,100,351,67,Available,2026-07-21,Gudang Bandung
STK-PRF-021-50,PRF-021,Jo Malone At,50,461,65,Available,2026-07-21,Gudang Jakarta
STK-PRF-021-100,PRF-021,Jo Malone At,100,203,55,Available,2026-07-21,Gudang Jakarta
STK-PRF-022-50,PRF-022,Hermès Itaque Absolu,50,495,35,Available,2026-07-21,Gudang Surabaya
STK-PRF-022-100,PRF-022,Hermès Itaque Absolu,100,46,47,Low Stock,2026-07-21,Gudang Bandung
STK-PRF-023-50,PRF-023,Burberry Sed Lumiere,50,327,96,Available,2026-07-21,Gudang Jakarta
STK-PRF-023-100,PRF-023,Burberry Sed Lumiere,100,25,62,Low Stock,2026-07-21,Gudang Jakarta
STK-PRF-024-50,PRF-024,Chanel Quod Noir,50,64,92,Low Stock,2026-07-21,Gudang Jakarta
STK-PRF-024-100,PRF-024,Chanel Quod Noir,100,35,90,Low Stock,2026-07-21,Gudang Jakarta
STK-PRF-025-50,PRF-025,Gucci Odit Aqua,50,300,47,Available,2026-07-21,Gudang Jakarta
STK-PRF-025-100,PRF-025,Gucci Odit Aqua,100,168,38,Available,2026-07-21,Gudang Bandung
STK-PRF-026-50,PRF-026,YSL Vel Absolu,50,1,55,Low Stock,2026-07-21,Gudang Jakarta
STK-PRF-026-100,PRF-026,YSL Vel Absolu,100,66,89,Low Stock,2026-07-21,Gudang Surabaya
STK-PRF-027-50,PRF-027,Chanel Consectetur Absolu,50,408,42,Available,2026-07-21,Gudang Jakarta
STK-PRF-027-100,PRF-027,Chanel Consectetur Absolu,100,338,23,Available,2026-07-21,Gudang Jakarta
STK-PRF-028-50,PRF-028,Tom Ford Quos Lumiere,50,7,65,Low Stock,2026-07-21,Gudang Jakarta
STK-PRF-028-100,PRF-028,Tom Ford Quos Lumiere,100,301,61,Available,2026-07-21,Gudang Jakarta
STK-PRF-029-50,PRF-029,Gucci Cupiditate Aqua,50,89,53,Available,2026-07-21,Gudang Jakarta
STK-PRF-029-100,PRF-029,Gucci Cupiditate Aqua,100,64,73,Low Stock,2026-07-21,Gudang Bandung
STK-PRF-030-50,PRF-030,Tom Ford Sapiente Oud,50,58,28,Available,2026-07-21,Gudang Surabaya
STK-PRF-030-100,PRF-030,Tom Ford Sapiente Oud,100,229,66,Available,2026-07-21,Gudang Bandung
